
# Surface 0 of 1 surfaces

# Curve title: ""sg3_contourtmp2.dat""

# Contour 0, label:        2
 0.68266 -0.657621  0.9 
 0.735854 -0.597335  0.9 
 0.767993 -0.555308  0.9 
 0.797624 -0.512002  0.9 
 0.847028 -0.426669  0.9 
 0.853326 -0.413373  0.9 
 0.884199 -0.341336  0.9 
 0.912644 -0.256003  0.9 
 0.932962 -0.17067  0.9 
 0.938659 -0.130793  0.9 
 0.944588 -0.085337  0.9 
 0.948299 -4e-06  0.9 
 0.944589  0.085329  0.9 
 0.938659  0.130793  0.9 
 0.932964  0.170662  0.9 
 0.912646  0.255995  0.9 
 0.884202  0.341328  0.9 
 0.853326  0.413373  0.9 
 0.847032  0.426661  0.9 
 0.797629  0.511994  0.9 
 0.767993  0.555308  0.9 
 0.735861  0.597327  0.9 
 0.68266  0.657621  0.9 
 0.657621  0.68266  0.9 
 0.597327  0.735861  0.9 
 0.555308  0.767993  0.9 
 0.511994  0.797629  0.9 
 0.426661  0.847032  0.9 
 0.413373  0.853326  0.9 
 0.341328  0.884202  0.9 
 0.255995  0.912646  0.9 
 0.170662  0.932964  0.9 
 0.130793  0.938659  0.9 
 0.085329  0.944589  0.9 
-4e-06  0.948299  0.9 
-0.085337  0.944588  0.9 


# Contour 12, label:      0.8
-0.256003  0.85684  0.8 
-0.266545  0.853326  0.8 
-0.341336  0.825771  0.8 
-0.426669  0.785349  0.8 
-0.456648  0.767993  0.8 
-0.512002  0.732175  0.8 
-0.576752  0.68266  0.8 
-0.597335  0.664821  0.8 
-0.664828  0.597327  0.8 
-0.682668  0.576742  0.8 
-0.732181  0.511994  0.8 
-0.768001  0.456634  0.8 
-0.785354  0.426661  0.8 
-0.825774  0.341328  0.8 
-0.853334  0.266521  0.8 
-0.856843  0.255995  0.8 
-0.87716  0.170662  0.8 
-0.88935  0.085329  0.8 
-0.893413 -4e-06  0.8 
-0.889349 -0.085337  0.8 
-0.877158 -0.17067  0.8 
-0.85684 -0.256003  0.8 
-0.853334 -0.266522  0.8 
-0.825771 -0.341336  0.8 
-0.78535 -0.426669  0.8 
-0.768001 -0.456635  0.8 
-0.732175 -0.512002  0.8 
-0.682668 -0.576742  0.8 
-0.664821 -0.597335  0.8 
-0.597335 -0.664821  0.8 
-0.576742 -0.682668  0.8 
-0.512002 -0.732175  0.8 
-0.456635 -0.768001  0.8 
-0.426669 -0.78535  0.8 
-0.341336 -0.825771  0.8 
-0.266522 -0.853334  0.8 
-0.256003 -0.85684  0.8 
-0.17067 -0.877158  0.8 
-0.085337 -0.889349  0.8 
-4e-06 -0.893413  0.8 
 0.085329 -0.88935  0.8 
 0.170662 -0.87716  0.8 
 0.255995 -0.856843  0.8 
 0.266521 -0.853334  0.8 
 0.341328 -0.825774  0.8 
 0.426661 -0.785354  0.8 
 0.456634 -0.768001  0.8 
 0.511994 -0.732181  0.8 
 0.576742 -0.682668  0.8 
 0.597327 -0.664828  0.8 
 0.664821 -0.597335  0.8 
 0.68266 -0.576752  0.8 
 0.732175 -0.512002  0.8 
 0.767993 -0.456648  0.8 
 0.785349 -0.426669  0.8 
 0.825771 -0.341336  0.8 
 0.853326 -0.266545  0.8 
 0.85684 -0.256003  0.8 
 0.877158 -0.17067  0.8 
 0.889349 -0.085337  0.8 
 0.893413 -4e-06  0.8 
 0.88935  0.085329  0.8 
 0.87716  0.170662  0.8 
 0.856842  0.255995  0.8 
 0.853326  0.266544  0.8 
 0.825774  0.341328  0.8 
 0.785354  0.426661  0.8 
 0.767993  0.456648  0.8 
 0.732181  0.511994  0.8 
 0.68266  0.576752  0.8 
 0.664828  0.597327  0.8 
 0.597327  0.664828  0.8 
 0.576752  0.68266  0.8 
 0.511994  0.732181  0.8 
 0.456648  0.767993  0.8 
 0.426661  0.785354  0.8 
 0.341328  0.825774  0.8 
 0.266544  0.853326  0.8 
 0.255995  0.856842  0.8 
 0.170662  0.87716  0.8 
 0.085329  0.88935  0.8 
-4e-06  0.893413  0.8 
-0.085337  0.889349  0.8 
-0.17067  0.877158  0.8 
-0.256003  0.85684  0.8 


# Contour 13, label:      0.7
-0.256003  0.795532  0.7 
-0.33075  0.767993  0.7 
-0.341336  0.763634  0.7 
-0.426669  0.718457  0.7 
-0.481991  0.68266  0.7 
-0.512002  0.660651  0.7 
-0.585068  0.597327  0.7 
-0.597335  0.585059  0.7 
-0.660658  0.511994  0.7 
-0.682668  0.481979  0.7 
-0.718462  0.426661  0.7 
-0.763637  0.341328  0.7 
-0.768001  0.33073  0.7 
