
# Surface 0 of 1 surfaces

# Curve title: "x * x + y * y"

# IsoCurve 0, 25 points
# x y z type
-1.0240000e+00 -8.5333333e-02 1.0558578e+00 i
-9.3866667e-01 -8.5333333e-02 8.8837689e-01 i
-8.5333333e-01 -8.5333333e-02 7.3545956e-01 i
-7.6800000e-01 -8.5333333e-02 5.9710578e-01 i
-6.8266667e-01 -8.5333333e-02 4.7331556e-01 i
-5.9733333e-01 -8.5333333e-02 3.6408889e-01 i
-5.1200000e-01 -8.5333333e-02 2.6942578e-01 i
-4.2666667e-01 -8.5333333e-02 1.8932622e-01 i
-3.4133333e-01 -8.5333333e-02 1.2379022e-01 i
-2.5600000e-01 -8.5333333e-02 7.2817778e-02 i
-1.7066667e-01 -8.5333333e-02 3.6408889e-02 i
-8.5333333e-02 -8.5333333e-02 1.4563556e-02 i
0.0000000e+00 -8.5333333e-02 7.2817778e-03 i
8.5333333e-02 -8.5333333e-02 1.4563556e-02 i
1.7066667e-01 -8.5333333e-02 3.6408889e-02 i
2.5600000e-01 -8.5333333e-02 7.2817778e-02 i
3.4133333e-01 -8.5333333e-02 1.2379022e-01 i
4.2666667e-01 -8.5333333e-02 1.8932622e-01 i
5.1200000e-01 -8.5333333e-02 2.6942578e-01 i
5.9733333e-01 -8.5333333e-02 3.6408889e-01 i
6.8266667e-01 -8.5333333e-02 4.7331556e-01 i
7.6800000e-01 -8.5333333e-02 5.9710578e-01 i
8.5333333e-01 -8.5333333e-02 7.3545956e-01 i
9.3866667e-01 -8.5333333e-02 8.8837689e-01 i
1.0240000e+00 -8.5333333e-02 1.0558578e+00 i

# IsoCurve 12, 25 points
# x y z type
-1.0240000e+00 0.0000000e+00 1.0485760e+00 i
-9.3866667e-01 0.0000000e+00 8.8109511e-01 i
-8.5333333e-01 0.0000000e+00 7.2817778e-01 i
-7.6800000e-01 0.0000000e+00 5.8982400e-01 i
-6.8266667e-01 0.0000000e+00 4.6603378e-01 i
-5.9733333e-01 0.0000000e+00 3.5680711e-01 i
-5.1200000e-01 0.0000000e+00 2.6214400e-01 i
-4.2666667e-01 0.0000000e+00 1.8204444e-01 i
-3.4133333e-01 0.0000000e+00 1.1650844e-01 i
-2.5600000e-01 0.0000000e+00 6.5536000e-02 i
-1.7066667e-01 0.0000000e+00 2.9127111e-02 i
-8.5333333e-02 0.0000000e+00 7.2817778e-03 i
0.0000000e+00 0.0000000e+00 0.0000000e+00 i
8.5333333e-02 0.0000000e+00 7.2817778e-03 i
1.7066667e-01 0.0000000e+00 2.9127111e-02 i
2.5600000e-01 0.0000000e+00 6.5536000e-02 i
3.4133333e-01 0.0000000e+00 1.1650844e-01 i
4.2666667e-01 0.0000000e+00 1.8204444e-01 i
5.1200000e-01 0.0000000e+00 2.6214400e-01 i
5.9733333e-01 0.0000000e+00 3.5680711e-01 i
6.8266667e-01 0.0000000e+00 4.6603378e-01 i
7.6800000e-01 0.0000000e+00 5.8982400e-01 i
8.5333333e-01 0.0000000e+00 7.2817778e-01 i
9.3866667e-01 0.0000000e+00 8.8109511e-01 i
1.0240000e+00 0.0000000e+00 1.0485760e+00 i

# IsoCurve 13, 25 points
# x y z type
-1.0240000e+00 8.5333333e-02 1.0558578e+00 i
-9.3866667e-01 8.5333333e-02 8.8837689e-01 i
-8.5333333e-01 8.5333333e-02 7.3545956e-01 i
-7.6800000e-01 8.5333333e-02 5.9710578e-01 i
-6.8266667e-01 8.5333333e-02 4.7331556e-01 i
-5.9733333e-01 8.5333333e-02 3.6408889e-01 i
-5.1200000e-01 8.5333333e-02 2.6942578e-01 i
-4.2666667e-01 8.5333333e-02 1.8932622e-01 i
-3.4133333e-01 8.5333333e-02 1.2379022e-01 i
-2.5600000e-01 8.5333333e-02 7.2817778e-02 i
-1.7066667e-01 8.5333333e-02 3.6408889e-02 i
-8.5333333e-02 8.5333333e-02 1.4563556e-02 i
0.0000000e+00 8.5333333e-02 7.2817778e-03 i
8.5333333e-02 8.5333333e-02 1.4563556e-02 i
1.7066667e-01 8.5333333e-02 3.6408889e-02 i
2.5600000e-01 8.5333333e-02 7.2817778e-02 i
3.4133333e-01 8.5333333e-02 1.2379022e-01 i
4.2666667e-01 8.5333333e-02 1.8932622e-01 i
5.1200000e-01 8.5333333e-02 2.6942578e-01 i
5.9733333e-01 8.5333333e-02 3.6408889e-01 i
6.8266667e-01 8.5333333e-02 4.7331556e-01 i
7.6800000e-01 8.5333333e-02 5.9710578e-01 i
8.5333333e-01 8.5333333e-02 7.3545956e-01 i
9.3866667e-01 8.5333333e-02 8.8837689e-01 i
1.0240000e+00 8.5333333e-02 1.0558578e+00 i

# IsoCurve 14, 25 points
# x y z type
-1.0240000e+00 1.7066667e-01 1.0777031e+00 i
-9.3866667e-01 1.7066667e-01 9.1022222e-01 i
-8.5333333e-01 1.7066667e-01 7.5730489e-01 i
-7.6800000e-01 1.7066667e-01 6.1895111e-01 i
-6.8266667e-01 1.7066667e-01 4.9516089e-01 i
-5.9733333e-01 1.7066667e-01 3.8593422e-01 i
-5.1200000e-01 1.7066667e-01 2.9127111e-01 i
-4.2666667e-01 1.7066667e-01 2.1117156e-01 i
-3.4133333e-01 1.7066667e-01 1.4563556e-01 i
-2.5600000e-01 1.7066667e-01 9.4663111e-02 i
-1.7066667e-01 1.7066667e-01 5.8254222e-02 i
-8.5333333e-02 1.7066667e-01 3.6408889e-02 i
0.0000000e+00 1.7066667e-01 2.9127111e-02 i
8.5333333e-02 1.7066667e-01 3.6408889e-02 i
1.7066667e-01 1.7066667e-01 5.8254222e-02 i
2.5600000e-01 1.7066667e-01 9.4663111e-02 i
3.4133333e-01 1.7066667e-01 1.4563556e-01 i
4.2666667e-01 1.7066667e-01 2.1117156e-01 i
5.1200000e-01 1.7066667e-01 2.9127111e-01 i
5.9733333e-01 1.7066667e-01 3.8593422e-01 i
6.8266667e-01 1.7066667e-01 4.9516089e-01 i
7.6800000e-01 1.7066667e-01 6.1895111e-01 i
8.5333333e-01 1.7066667e-01 7.5730489e-01 i
9.3866667e-01 1.7066667e-01 9.1022222e-01 i
1.0240000e+00 1.7066667e-01 1.0777031e+00 i

